POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION,ave_u,ave_ca,ave_as,ave_e
358459,33409,26.7145589,-80.0958205,ZIP,,,,1873,0,0,0,0
358460,33426,26.51747,-80.083427,TESTCENTER,2268222,HIGH SCHOOL,BOYNTON BEACH COMM HIGH SCHOOL,,0.341846726,638,218.7517647,5185.283529
358461,33426,26.5337358,-80.0831517,ZIP,,,,857,0,0,0,0
358462,33435,26.5257854,-80.0613671,ZIP,,,,1921,0,0,0,0
358463,33462,26.576766,-80.077264,TESTCENTER,2274274,HIGH SCHOOL,SANTALUCES COMMUNITY H S,,0.488886354,456.9694444,228.8361111,7532.466944
358464,33462,26.5800205,-80.0722824,ZIP,,,,1936,0,0,0,0
358465,33460,26.6196641,-80.0567147,ZIP,,,,1967,0,0,0,0
358466,33460,26.618207,-80.055996,TESTCENTER,2274273,HIGH SCHOOL,LAKE WORTH HIGH SCHOOL,,0.502600975,428.0357143,215.3821429,4141.107143
358467,33405,26.67,-80.06,TESTCENTER,2274262,HIGH SCHOOL,FOREST HILL HIGH SCHOOL,,0.232159042,1020,236.8022222,6693.237222
358468,33405,26.6696494,-80.0584517,ZIP,,,,1159,0,0,0,0
358469,33401,26.7158442,-80.070249,ZIP,,,,1525,0,0,0,0
358470,33480,26.6863713,-80.0426263,ZIP,,,,147,0,0,0,0
358471,33412,26.7945323,-80.2070748,ZIP,,,,1009,0,0,0,0
358472,33407,26.7576925,-80.0911722,ZIP,,,,2041,0,0,0,0
358473,33418,26.838977,-80.132533,TESTCENTER,2271071,HIGH SCHOOL,THE BENJAMIN SCHOOL,,0.625135035,225.25,140.8116667,1058.75
358474,33418,26.838977,-80.132533,TESTCENTER,2274266,HIGH SCHOOL,WILLIAM T DWYER HIGH SCHOOL,,0.707130492,189.2553333,133.8826667,2681.664333
358475,33410,26.844373,-80.087304,TESTCENTER,2272783,HIGH SCHOOL,PALM BEACH GARDENS HIGH SCHOOL,,0.543506234,902.8888889,491.5588889,4695.655556
358476,33410,26.8456622,-80.0873505,ZIP,,,,1521,0,0,0,0
358477,33418,26.8727125,-80.1657123,ZIP,,,,1683,0,0,0,0
358478,33458,26.933938,-80.120091,TESTCENTER,2274272,HIGH SCHOOL,JUPITER COMMUNITY SR HIGH SCHOOL,,0.704739577,171.7,121.03,2086.883333
358479,33458,26.9365583,-80.1318511,ZIP,,,,3353,0,0,0,0
358480,33469,26.9892212,-80.1085415,ZIP,,,,752,0,0,0,0
358481,33407,26.749154,-80.072492,TESTCENTER,2273567,HIGH SCHOOL,PALM BEACH LAKES HIGH SCHOOL,,0.591837447,473.7333333,259.974,8736.192667
358482,33403,26.8037468,-80.0763685,ZIP,,,,872,0,0,0,0
358483,33404,26.7810222,-80.0637376,ZIP,,,,2034,0,0,0,0
358484,33408,26.828854,-80.060334,TESTCENTER,2271912,OTHER,JUNO BEACH PREPARATORY SCHOOL,,0.499835074,78.812,38.31533333,448.1546667
358485,33408,26.8404825,-80.0521581,ZIP,,,,639,0,0,0,0
358486,33477,26.9202255,-80.0765891,ZIP,,,,301,0,0,0,0
358487,33455,27.0531427,-80.1612319,ZIP,,,,853,0,0,0,0
358488,34997,27.139817,-80.212937,TESTCENTER,2271927,HIGH SCHOOL,SOUTH FORK HIGH SCHOOL,,0.457593434,352.4666667,153.4938889,1510.355
358489,34996,27.1928171,-80.189813,ZIP,,,,387,0,0,0,0
358490,33890,27.4327929,-81.6999841,ZIP,,,,415,0,0,0,0
358491,33872,27.5052508,-81.5459528,ZIP,,,,525,0,0,0,0
358492,33873,27.570917,-81.7811726,ZIP,,,,1125,0,0,0,0
358493,33841,27.746356,-81.782346,TESTCENTER,2273523,HIGH SCHOOL,FORT MEADE MIDDLE SENIOR HIGH SCHL,,0.296653144,246.5,73.125,618.86
358494,33841,27.7411458,-81.7546022,ZIP,,,,721,0,0,0,0
358495,33843,27.7207992,-81.5329556,ZIP,,,,831,0,0,0,0
358496,33875,27.3923576,-81.5104908,ZIP,,,,578,0,0,0,0
358497,33870,27.5069295,-81.4084559,ZIP,,,,1173,0,0,0,0
358498,33876,27.4125943,-81.35953,ZIP,,,,243,0,0,0,0
358499,33825,27.6,-81.5,TESTCENTER,2266597,2 YR COMM COLLEGE,SOUTH FLORIDA STATE COLLEGE,,0.560638847,246.5755556,138.385,1247.314444
358500,33825,27.6202523,-81.4588263,ZIP,,,,1561,0,0,0,0
358501,33880,27.9790547,-81.7799456,ZIP,,,,2787,0,0,0,0
358502,33839,27.9768285,-81.7504979,ZIP,,,,199,0,0,0,0
358503,33884,27.9784795,-81.672447,ZIP,,,,1542,0,0,0,0
358504,33880,28.01,-81.71,TESTCENTER,2266601,HIGH SCHOOL,WINTER HAVEN SR HIGH SCHOOL,,0.248303151,756.5,187.8413333,986.348
358505,33881,28.02,-81.71,TESTCENTER,2266602,2 YR COMM COLLEGE,POLK STATE COLLEGE,,0.488419493,216.1833333,105.5773333,827.4053333
358506,33859,27.8726953,-81.6264014,ZIP,,,,762,0,0,0,0
358507,33853,27.900707,-81.5844503,ZIP,,,,813,0,0,0,0
